itemname,tableweight,sell price
Heracronite,1,$5000
Houndoominite,1,$5000
Ice Booster,3,$900
Ice Brace,3,$1000
Ice Gem,4,$100
Ice Plate,1,$500
Inteleonite Z,1,$5000
Iron Ball,2,$450
Kangaskhanite,1,$5000
King's Rock,2,$1250
Kinglerite Z,1,$5000
Lagging Anklet,2,$450
Lagging Band,2,$450
Lagging Belt,2,$450
Lagging Bracer,2,$450
Lagging Lens,2,$450
Laprasite Z,1,$5000
Latiasite,1,$5000
Latiosite,1,$5000
Lax Incense,2,$1000
Life Orb,2,$1850
Lopunnite,1,$5000
Lucarionite,1,$5000
Lucarionite Z,1,$5000
Luck Incense,2,$900
Machampite Z,1,$5000
Magearnite,1,$5000
Magmarizer,2,$750
Malamarite,1,$5000
Manectite,1,$5000
Mawilite,1,$5000
Medichamite,1,$5000
Meganiumite,1,$5000
Melmetite Z,1,$5000
Meowsticite,1,$5000
Meowthite Z,1,$5000
Metagrossite,1,$5000
Metal Coat,2,$750
Metal Powder,2,$500
Mewtwonite X,1,$5000
Mewtwonite Y,1,$5000
Normal Booster,3,$900
Normal Brace,3,$1000
Normal Gem,4,$100
Normal Plate,1,$500
Orbeetite Z,1,$5000
Oval Stone,2,$750
Pidgeotite,1,$5000
Pikachite Z,1,$5000
Pink Pearl,2,$900
Pinsirite,1,$5000
Poison Booster,3,$900
Poison Brace,3,$1000
Poison Gem,4,$100
Poison Plate,1,$500
Prism Scale,2,$750
Protector,2,$750
Psychic Booster,3,$900
Psychic Brace,3,$1000
Psychic Gem,4,$100
Psychic Plate,1,$500
Pyroarite,1,$5000
Quick Claw,2,$2100
Rad Fashion,2,$250
Raichunite X,1,$5000
Raichunite Y,1,$5000
Rare Leek,2,$500
Razor Claw,2,$1500
Razor Fang,2,$1500
Reaper Cloth,2,$750
Rillabite Z,1,$5000
Rock Booster,3,$900
Rock Brace,3,$1000
Rock Gem,4,$100
Rock Plate,1,$500
Rough Fashion,2,$250
Sablenite,1,$5000
Sachet,2,$750
Safety Goggles,2,$750
Salamencite,1,$5000
Sandacondite Z,1,$5000
Sceptilite,1,$5000
Scizorite,1,$5000
Scolipite,1,$5000
Scovillainite,1,$5000
Scraftinite,1,$5000
Sharpedonite,1,$5000
Shell Bell,2,$2600
Shock Collar,2,$1750
Skarmorite,1,$5000
Slick Fashion,2,$250
Slowbronite,1,$5000
Snorlite Z,1,$5000
Special Attack Booster,2,$2000
Special Defense Booster,2,$2000
Speed Booster,2,$2000
Staraptite,1,$5000
Starminite,1,$5000
Steel Booster,3,$900
Steel Brace,3,$1000
Steel Gem,4,$100
Steel Plate,1,$500
Steelixite,1,$5000
Swampertite,1,$5000
Tatsugirinite,1,$5000
Toxic Orb,2,$2400
Toxtricite Z,1,$5000
Tyranitarite,1,$5000
Up-Grade,2,$750
Urshifite Z,1,$5000
Venusaurite,1,$5000
Venusaurite Z,1,$5000
Victreebelite,1,$5000
Water Booster,3,$900
Water Brace,3,$1000
Water Gem,4,$100
Water Plate,1,$500
Whipped Dream,2,$750
Winter Cloak,2,$750
Zeraorite,1,$5000
Zygardite,1,$5000
